Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
rrid: scr_007037,maybe,,,let's exclude on basis of probability of being outside of social neuroscience,what is this?,yes
rs11136000,maybe,,,gene: outside of social neuro?,don't exclude (issue discussed and resolved between coders),
rs53576,maybe,,,gene: outside of social neuro?,don't exclude (issue discussed and resolved between coders),
savant syndrome,maybe,,,exclude,exclude,yes
savants,maybe,,,exclude,exclude,yes
sch 23390,maybe,,,don't exclude,don't exclude,
serotonin transporter,maybe,,,don't exclude,don't exclude,
serotonin transporter gene,maybe,,,don't exclude,don't exclude,
simultaneous nirs-fmri recording,maybe,,,exclude,"exclude (I have excluded ""simoltaneous fnirs-fmri"")",yes
skin conductance,maybe,method,,exclude,exclude,yes
skin conductance response,maybe,method,,exclude,exclude,yes
skin-conductance,maybe,method,,exclude,exclude,yes
skin-conductance responses,maybe,method,,exclude,exclude,yes
social phobics,maybe,patients/disorder,"I am doubting now whether to exclude this (and social phobia) because it is in itself a very 'social' thing, and it might be something that a normal population was asked about or that the sample was a little phobic",exclude,exclude,yes
species-specific vocalizations,maybe,,,exclude,exclude,yes
substance-abuse,maybe,,I would still think this would interest social neuroscientist to replicate,exclude,"exclude (you have to be clinically diagnosed I think, so it would constitute a patient group)",yes
substance-abusers,maybe,,I would still think this would interest social neuroscientist to replicate,exclude,"exclude (you have to be clinically diagnosed I think, so it would constitute a patient group)",yes
suicidal ideation,maybe,,I would still think this would interest social neuroscientist to replicate,exclude,"Edge case, but sounds very close to a patient group to me.",yes
surgery,maybe,,,exclude,exclude,yes
swedish twin registry,maybe,,difficult to get twins,don't exclude,"don't exclude (I did not exclude ""connectome project"", which seems a similar case)",
theta burst,maybe,method,,exclude,exclude,yes
theta oscillations,maybe,method,this sounds MEG to me,exclude,exclude,yes
theta-burst stimulation,maybe,method,,exclude,exclude,yes
theta-burst-stimulation,maybe,method,,exclude,exclude,yes
thetaburst tms,maybe,method,,exclude,exclude,yes
transcortical sensory aphasia,maybe,patients/disorder,,exclude,exclude,yes
traumatic brain injury,maybe,,,exclude,exclude,yes
traumatic brain-injury,maybe,,,exclude,exclude,yes
tyrosine-hydroxylase,maybe,,,don't exclude,"Does signal parkinson patients, but would still keep",
v1,maybe,,,don't exclude,don't exclude (but maybe I'm missing something. Why is this flagged?),
v1 neurons,maybe,,,don't exclude,don't exclude (but maybe I'm missing something. Why is this flagged?),
v1a receptors,maybe,,,don't exclude,don't exclude (but maybe I'm missing something. Why is this flagged?),
v4,maybe,,,don't exclude,don't exclude (but maybe I'm missing something. Why is this flagged?),
xuanzhong (gb 39),maybe,,,don't exclude,I did not exclude similar acupunctural references from my data!,
pinyin,,,,,,
postpartum,,,,,,
premotor,,,,,,
swedish population,,,,,,
2340,,,,,,
2343,,,,,,
(fmri),,,,,,
1.5 t,,,,,,
10 ironic rules,,,,,,
1st,,,,,,
1st impressions,,,,,,
1st report,,,,,,
1st-degree relatives,,,,,,
1st-language,,,,,,
1st-language acquisition,,,,,,
2 action systems,,,,,,
2 faces,,,,,,
2 subtypes,,,,,,
2 systems,,,,,,
2-groups model,,,,,,
2-step flow,,,,,,
2d: 4d,,,,,,
2nd-language,,,,,,
2nd-language acquisition,,,,,,
2nd-language learners,,,,,,
2nd-order beliefs,,,,,,
3 age-groups,,,,,,
3 structural models,,,,,,
3-dimensional objects,,,,,,
3-factor eating questionnaire,,,,,,
3.0 t,,,,,,
3.0 tesla,,,,,,
3'-untranslated region,,,,,,
3rd somatosensory area,,,,,,
3rd-party punishment,,,,,,
3t,,,,,,
"47,xxy",,,,,,
5-factor model,,,,,,
5-ht2a receptor-binding,,,,,,
5-httlpr,,,,,,
5-httlpr polymorphism,,,,,,
7-repeat allele,,,,,,
a modified moving block bootstrap method,,,,,,
a posteriori model validation,,,,,,
a118g,,,,,,
abacus mental imagery,,,,,,
abacus-based mental calculation,,,,,,
abilities,,,,,,
ability,,,,,,
abnormalities,,,,,,
absolute identification,,,,,,
absolute pitch,,,,,,
abstinence,,,,,,
abstract,,,,,,
abstract action representations,,,,,,
abstract cognition,,,,,,
abstract concepts,,,,,,
abstract ideas,,,,,,
abstract intelligence,,,,,,
abstract semantics,,,,,,
abstract verbs,,,,,,
abstract words,,,,,,
abstraction,,,,,,
academic achievement,,,,,,
academic procrastination,,,,,,
academic-achievement,,,,,,
acc,,,,,,
accelerometers,,,,,,
accent,,,,,,
acceptance,,,,,,
access,,,,,,
accessibility,,,,,,
accessibility model,,,,,,
accidental action,,,,,,
accidents,,,,,,
accommodation,,,,,,
account,,,,,,
accountability,,,,,,
acculturation,,,,,,
accumbens,,,,,,
accuracy,,,,,,
accurate,,,,,,
acetaminophen,,,,,,
achievement,,,,,,
achievement gap,,,,,,
achievement goals,,,,,,
achievement motivation,,,,,,
achievement stress,,,,,,
achievement-motivation,,,,,,
acoustic features,,,,,,
acoustic noise,,,,,,
acoustic parameters,,,,,,
acoustic profiles,,,,,,
acoustic startle reflex,,,,,,
acquired theory,,,,,,
acquisition,,,,,,
actigraphy,,,,,,
action,,,,,,
action anticipation,,,,,,
action co-representation,,,,,,
action control,,,,,,
action events,,,,,,
action execution,,,,,,
action expertise,,,,,,
action goal,,,,,,
action goals,,,,,,
action identification,,,,,,
action imitation,,,,,,
action mistakes,,,,,,
action observation,,,,,,
action observation network,,,,,,
action observation network (aon),,,,,,
action observation treatment (aot),,,,,,
action organization,,,,,,
action perception,,,,,,
action planning,,,,,,
action recognition,,,,,,
action representation,,,,,,
action representations,,,,,,
action selection,,,,,,
action sentence processing,,,,,,
action simulation,,,,,,
action situation,,,,,,
action understanding,,,,,,
action units,,,,,,
action value,,,,,,
action verbs,,,,,,
action words,,,,,,
action-based model,,,,,,
action-goal,,,,,,
action-mirroring,,,,,,
action-monitoring,,,,,,
action-outcome contingency,,,,,,
action-perception,,,,,,
action-perception coupling,,,,,,
action-sound representation,,,,,,
action-understanding,,,,,,
actions,,,,,,
activation,,,,,,
activation balance,,,,,,
activation likelihood estimate,,,,,,
activation likelihood estimation,,,,,,
activation likelihood estimation (ale),,,,,,
activation patterns,,,,,,
activation prior,,,,,,
activation-based parcellation,,,,,,
activations,,,,,,
active filler hypothesis,,,,,,
active gaze,,,,,,
active listening,,,,,,
active touch,,,,,,
active tracking,,,,,,
activity,,,,,,
activity fluctuations,,,,,,
actor identity,,,,,,
actor-orientation,,,,,,
actor-recipient role,,,,,,
actors faces,,,,,,
acute psychosocial stress,,,,,,
acute stress,,,,,,
acute tryptophan depletion,,,,,,
adaptability,,,,,,
adaptation,,,,,,
adaptation reveals,,,,,,
adaptive lasso,,,,,,
adaptive resonance theory,,,,,,
adaptive social behavior,,,,,,
adaptive-changes,,,,,,
adaptive-control,,,,,,
addressed phonology,,,,,,
addressees,,,,,,
adenocarcinoma,,,,,,
adjective ascription task,,,,,,
adjectives,,,,,,
adjustment,,,,,,
adjuvant radiation,,,,,,
admiration,,,,,,
admissibility,,,,,,
adolescence,,,,,,
adolescent,,,,,,
adolescent alcohol,,,,,,
adolescent behavior,,,,,,
adolescent brain,,,,,,
adolescent development,,,,,,
adolescent girls,,,,,,
adolescent risk and ambiguous decision-making,,,,,,
adolescent risk-taking,,,,,,
adolescent smokers,,,,,,
adolescents,,,,,,
adolescents born,,,,,,
adra2b,,,,,,
adrenarche,,,,,,
adrenocortical attunement,,,,,,
adult,,,,,,
adult age,,,,,,
adult age-differences,,,,,,
adult attachment,,,,,,
adult attachment style,,,,,,
adult decision making competence (a-dmc),,,,,,
adult head model,,,,,,
adult human brain,,,,,,
adult human brains,,,,,,
adult humans,,,,,,
adult life-span,,,,,,
adulthood,,,,,,
adults,,,,,,
advantageous inequity,,,,,,
adverse mood,,,,,,
advertisement,,,,,,
advertising,,,,,,
advice,,,,,,
advice evaluation,,,,,,
advice integration,,,,,,
aesthetic appreciation,,,,,,
aesthetic experience,,,,,,
aesthetic preference,,,,,,
aesthetics,,,,,,
affect,,,,,,
affect intensity,,,,,,
affect performance,,,,,,
affective,,,,,,
affective aggression,,,,,,
affective components,,,,,,
affective empathy,,,,,,
affective experience,,,,,,
affective imagery,,,,,,
affective influence,,,,,,
affective judgment,,,,,,
affective mentalizing,,,,,,
affective misattribution procedure,,,,,,
affective neuroscience,,,,,,
affective norms,,,,,,
affective picture processing,,,,,,
affective pictures,,,,,,
affective processing,,,,,,
affective properties,,,,,,
affective prosody,,,,,,
affective ratings,,,,,,
affective reactions,,,,,,
affective reciprocity,,,,,,
affective responses,,,,,,
affective responsiveness,,,,,,
affective style,,,,,,
affective system,,,,,,
affective tone,,,,,,
affective touch,,,,,,
affective training,,,,,,
affective valence,,,,,,
affective word list,,,,,,
affects neural responses,,,,,,
afferent connections,,,,,,
afferent properties,,,,,,
afferents,,,,,,
affiliation,,,,,,
affiliation motive,,,,,,
affilliative behavior,,,,,,
affirmation,,,,,,
affordance,,,,,,
affordances,,,,,,
african american men who have sex with men (aa msm),,,,,,
african-american,,,,,,
aftereffects,,,,,,
age,,,,,,
age and gender differences,,,,,,
age of acquisition,,,,,,
age of l2 acquisition,,,,,,
age-differences,,,,,,
age-of-onset,,,,,,
age-related change,,,,,,
age-related dedifferentiation,,,,,,
age-related differences,,,,,,
age-related-changes,,,,,,
agency,,,,,,
agency attribution,,,,,,
agent,,,,,,
agent-based model,,,,,,
aggression,,,,,,
aggressive responses,,,,,,
aggressive-behavior,,,,,,
aging,,,,,,
aging brain,,,,,,
aging mind,,,,,,
aging visual-system,,,,,,
agrammatic aphasia,,,,,,
agreeableness,,,,,,
agreement,,,,,,
aha,,,,,,
ai,,,,,,
ainsworths strange situation,,,,,,
air,,,,,,
akt1 gene,,,,,,
alcohol,,,,,,
alcohol cue reactivity,,,,,,
alcohol intoxication,,,,,,
alcohol-intoxication,,,,,,
alcohol-related aggression,,,,,,
alcohol-related cues,,,,,,
alcohol-use,,,,,,
ale,,,,,,
ale meta-analysis,,,,,,
ale metaanalysis,,,,,,
alertness,,,,,,
alexithymia,,,,,,
alexithymia scale,,,,,,
alff,,,,,,
algebraic word-problems,,,,,,
algorithm,,,,,,
algorithmic and representational level,,,,,,
algorithms,,,,,,
alien hand syndrome,,,,,,
alien-effect,,,,,,
alifg,,,,,,
all-cause mortality,,,,,,
allocentric,,,,,,
allodynia,,,,,,
allostatic load,,,,,,
aloud,,,,,,
alpha oscillations,,,,,,
alpha power,,,,,,
alpha-band,,,,,,
alphabetic words,,,,,,
alternating least squares (als) algorithm,,,,,,
alternating least-squares,,,,,,
alternating-current stimulation,,,,,,
alternative communication,,,,,,
alternatives,,,,,,
altruism,,,,,,
altruistic,,,,,,
altruistic behavior,,,,,,
altruistic motivation,,,,,,
altruistic punishment,,,,,,
amber light,,,,,,
ambiguity,,,,,,
ambiguous anticipation,,,,,,
ambiguous facial expressions,,,,,,
ambiguous figures,,,,,,
ambivalence,,,,,,
ambivalent sexism,,,,,,
amcc,,,,,,
american,,,,,,
american football,,,,,,
american sign language,,,,,,
american sign-language,,,,,,
amine-associated receptors,,,,,,
amnesia,,,,,,
amphetamine,,,,,,
amplification,,,,,,
amplitude,,,,,,
amplitude of low-frequency fluctuations,,,,,,
amplitude of low-frequency fluctuations (alff),,,,,,
amusement,,,,,,
amygdala,,,,,,
amygdala activation,,,,,,
amygdala activity,,,,,,
amygdala damage,,,,,,
amygdala lesion,,,,,,
amygdala reactivity,,,,,,
amygdala response,,,,,,
amygdala responses,,,,,,
amygdala responsivity,,,,,,
amygdala-prefrontal circuitry,,,,,,
amygdale,,,,,,
amygdaloid complex,,,,,,
amyloid-beta,,,,,,
amyotrophic lateral sclerosis,,,,,,
amyotrophic-lateral-sclerosis,,,,,,
analgesia,,,,,,
analog-risk-task,,,,,,
analytic,,,,,,
anandamide,,,,,,
anaphoric pronouns,,,,,,
anarchic hand syndrome,,,,,,
anarchism,,,,,,
anatomic organization,,,,,,
anatomical connectivity,,,,,,
anatomical evidence,,,,,,
anatomical variability,,,,,,
anatomy,,,,,,
and interpersonal attraction,,,,,,
androgen,,,,,,
androgen excess,,,,,,
androgen receptor,,,,,,
androgen receptor immunoreactivity,,,,,,
androgens,,,,,,
androstadienone,,,,,,
anesthesia,,,,,,
anger,,,,,,
anger control,,,,,,
anger expression,,,,,,
anger prosody,,,,,,
anger regulation,,,,,,
angry,,,,,,
angry birds,,,,,,
angry children,,,,,,
angry expression,,,,,,
angry faces,,,,,,
angry facial expression,,,,,,
angry rumination,,,,,,
angry voices,,,,,,
angular gyrus,,,,,,
animacy,,,,,,
animacy detection,,,,,,
animated shapes,,,,,,
animation,,,,,,
anisotropy,,,,,,
ankk1,,,,,,
ankle dorsiflexion,,,,,,
anomaly detection,,,,,,
anonymous economic game,,,,,,
anorexia nervosa,,,,,,
anothers mistakes,,,,,,
antagonist,,,,,,
antecedent appraisal,,,,,,
anterior,,,,,,
anterior cingulate,,,,,,
anterior cingulate (acc),,,,,,
anterior cingulate cortex,,,,,,
anterior cingulate cortex (acc),,,,,,
anterior cingulate function,,,,,,
